Quality,Angle (°),Angle (rad),Distance,x,y
15,"331,9375","5,79323142361111","2532,25","-1191,63936669318","2234,34233774663"
15,"333,296875","5,81695629340278","2647,75","-1190,21917882377","2365,15504118864"
15,"334,6875","5,8412265625","2751,25","-1176,73940547329","2486,89785357307"
15,"336,03125","5,86467873263889",2900,"-1178,54946887738","2649,72095689505"
15,"337,375","5,88813090277778","3026,75","-1164,87017223274","2793,61648125552"
15,"338,765625","5,912401171875","3053,5","-1106,42470645826","2845,99483817852"
15,"340,140625","5,93639874131944",3002,"-1020,3120445536","2823,29016074134"
15,"341,53125","5,96066901041667","2978,5","-944,047847097528","2824,93113409699"
15,"342,921875","5,98493927951389","2960,25","-869,852053792991","2829,56489005149"
15,"344,296875","6,00893684895833",2948,"-798,38784778231","2837,8303057994"
15,"345,703125","6,03347981770833","2855,75","-705,708923729029","2767,17960701311"
15,347,"6,05611388888889","2881,25","-648,641660899231","2807,28793646927"
15,"348,390625","6,08038415798611","2865,75","-577,201770688659","2807,01998183374"
15,"349,765625","6,10438172743056","2852,75","-507,368305884393","2807,26912936469"
